userName,score,at,content
Pengguna Google,4,2024-07-29 00:26:39,oke lahh
Pengguna Google,5,2024-07-28 18:35:59,mantap
Pengguna Google,5,2024-07-28 17:05:02,ok kami puas
Pengguna Google,5,2024-07-28 14:29:57,"tambah lagi peringan kerja, mudah digunakan tinggal tanya dan jawaban langsung berjejer detil lengkap, luar biasa dunia elektronik jelang akhir dunia ini..."
Pengguna Google,5,2024-07-28 14:19:11,mantap nih aplikasi.. bintang 5👌💪👍
Pengguna Google,5,2024-07-28 12:50:40,aplikasinya bagus cocok untuk berimaginasi dan gambarnya bagus2
Pengguna Google,4,2024-07-28 12:42:41,bug tulisan tidak terlihat di chat gpt
Pengguna Google,5,2024-07-28 12:32:48,Good
Pengguna Google,4,2024-07-28 12:20:18,sudah bagus
Pengguna Google,5,2024-07-28 12:18:51,terima kasih
Pengguna Google,5,2024-07-28 12:17:36,bGus
Pengguna Google,5,2024-07-28 11:48:30,bagus
Pengguna Google,5,2024-07-28 11:17:15,Bing gg robax gratis
Pengguna Google,5,2024-07-28 07:38:56,Sangat puas
Pengguna Google,5,2024-07-28 05:47:53,Ini sangat bagus itu saja
Pengguna Google,5,2024-07-28 02:11:09,siip
Pengguna Google,1,2024-07-28 00:34:26,Jawaban Bing itu mengacu pada kesalahan. jawaban melenceng. udah gitu ai nya banyak mau
Pengguna Google,2,2024-07-27 21:15:30,Mohon perbaiki titik lokasi bing map (masih kacau lokasi yang ditandai)
Pengguna Google,5,2024-07-27 17:37:09,keren
Pengguna Google,5,2024-07-27 14:20:34,lengkap dan komplit fasilitasnya
Pengguna Google,5,2024-07-27 14:13:02,"Aplikasi banyak fitur keren! tetapi sayangnya tidak ada fitur ""terjemahkan web"" dan ""dalam mode dekstop"" seperti chrome. Saya harap Pihak microsoft bisa meningkatkannya lagi!"
Pengguna Google,5,2024-07-27 13:11:21,aplikasing yang bagus.
Pengguna Google,4,2024-07-27 09:54:16,its ok
Pengguna Google,5,2024-07-27 06:50:52,apk yang sangat membantu
Pengguna Google,5,2024-07-27 06:12:42,sangat membantu sekali untuk promo produk
Pengguna Google,5,2024-07-27 06:03:19,semoga makin berkembang
Pengguna Google,5,2024-07-27 05:39:03,sangat bagus dan sangat berguna untuk para pecinta seni
Pengguna Google,5,2024-07-27 05:29:12,"beri gue bintang 7, puuuuciiing loch gue @#!!$#₩₩₩!!!"
Pengguna Google,5,2024-07-27 04:27:29,cukup baik dan memuaskan untuk keterangan nama kurang lengkap
Pengguna Google,5,2024-07-27 03:29:06,suka banget sama APK ini.
Pengguna Google,5,2024-07-27 01:51:51,aplikasi ini sangat membantu
Pengguna Google,5,2024-07-26 19:40:38,baik
Pengguna Google,4,2024-07-26 18:11:41,Bagus 👍👍👍 Tapi sering salah huruf.
Pengguna Google,5,2024-07-26 12:19:02,baik
Pengguna Google,5,2024-07-26 10:25:32,aplikasi bagus ini.. gak nyesel downloadnya..
Pengguna Google,5,2024-07-26 08:29:15,sangat baik
Pengguna Google,4,2024-07-26 02:08:01,bagus
Pengguna Google,1,2024-07-25 19:28:42,Alhamdulillah
Pengguna Google,5,2024-07-25 15:36:58,bagus kadang rada lemot apk nya. kurang ringan dikit. masih kadang lag.
Pengguna Google,5,2024-07-25 15:20:02,good
Pengguna Google,5,2024-07-25 14:05:57,sangat bagus bermanfaat untuk menambah wawasan
Pengguna Google,5,2024-07-25 13:10:51,sangat penting untuk menunjang kegiatan belajar saya terimakasih
Pengguna Google,5,2024-07-25 10:09:18,BINTANG 5 FIXX BISA DAPET 100 ROBUX GRATIS GK BOHONG CUMA NGUNPULIN 1500 POIN.. MAKASIH YA BINGG
Pengguna Google,5,2024-07-25 05:48:23,sangat puas
Pengguna Google,5,2024-07-25 03:21:24,sangat membantu
Pengguna Google,5,2024-07-24 22:54:45,"aplikasi yang lengkap dan mudah digunakan, terimakasih Bing"
Pengguna Google,5,2024-07-24 19:52:44,hahha bagus tapi harus gpt 5 biar lebih bagus
Pengguna Google,5,2024-07-24 18:15:09,aplikasi mantap
Pengguna Google,5,2024-07-24 11:59:20,terbaik dari yang terbaik
Pengguna Google,5,2024-07-24 08:59:44,⭐⭐⭐⭐⭐
Pengguna Google,5,2024-07-24 08:46:40,Terima kasih atas kemudahan mengakses informasi yang dibutuhkan.
Pengguna Google,5,2024-07-24 07:28:41,good
Pengguna Google,3,2024-07-24 06:19:56,tes coba dulu
Pengguna Google,4,2024-07-24 06:19:39,sangat bagus....dan untuk benerapa aplikasi didalam nya loading lama ...
Pengguna Google,5,2024-07-24 06:13:58,keren 👍👍👍👍👍
Pengguna Google,5,2024-07-24 05:42:11,good
Pengguna Google,1,2024-07-24 04:23:12,Gimana cara nya ngalahin robot kalo udah gak ada lagi buat di klik
Pengguna Google,5,2024-07-24 04:04:59,amazing jasa
Pengguna Google,5,2024-07-24 03:20:37,sangat cocok dan bagus untuk edit foto
Pengguna Google,5,2024-07-23 15:19:15,good
Pengguna Google,5,2024-07-23 14:44:29,Luar biasa !! 👍👍👍👍👍
Pengguna Google,5,2024-07-23 14:36:38,good
Pengguna Google,5,2024-07-23 14:19:18,"mantap,sangat bermanfaat"
Pengguna Google,5,2024-07-23 14:08:24,aplikasi yg sangat bagus. saya sangat suka sekali
Pengguna Google,5,2024-07-23 13:55:22,👍👍👍👍👍👍👍
Pengguna Google,5,2024-07-23 10:23:35,"lumayan menarik,tapi kadang suka meleset tidak sesuai target"
Pengguna Google,5,2024-07-23 09:12:30,sangat bagus
Pengguna Google,5,2024-07-23 05:08:52,Ai nya super bagus dan lebih bagus dari bard Ai
Pengguna Google,5,2024-07-23 00:22:07,Nice !
Pengguna Google,1,2024-07-22 19:31:57,"This app has really become awful, extremely awful, ever since the GPT-4 feature was changed. Then there's no creative, balanced, and precise options - everything has become terrible. I really dislike the AI from this app, it makes me angry. I will give it 1 star until the previous features are restored, and I'm sure many people agree with me. You've really messed everything up."
Pengguna Google,5,2024-07-22 16:08:43,Mataaap
Pengguna Google,4,2024-07-22 13:37:50,"Bagus sih,tapi sekarang udah berbayar,saran saya untuk user gratisan mending cari ai yang lain masih banyak"
Pengguna Google,4,2024-07-22 12:38:43,"harus lebih di tingkatkan lagi,agar lebih memuaskan."
Pengguna Google,3,2024-07-22 09:20:15,"Sederhana, netral"
Pengguna Google,5,2024-07-22 06:56:17,sit
Pengguna Google,4,2024-07-22 04:37:54,sangat membantu
Pengguna Google,5,2024-07-22 03:20:06,Gokil
Pengguna Google,5,2024-07-21 17:02:04,"Aplikasi ini sungguh keren, membantu menuangkan imaginasi . Yukk download Apk ini"
Pengguna Google,3,2024-07-21 16:55:16,"Aplikasi nya bagus, tetapi untuk bagian Image creator nya itu, kebijakan kontennya jangan terlalu ketat donk, soalnya saya ingin membuat gambar-gambar model wanita seksi, tetapi tidak terlalu seksi, tapi masih saja dilarang dan diblokir. Tolong lah jangan terlalu ketat, nanti ga bisa bebas kita membuat gambar di Bing AI. Dan tambahkan proporsi atau ukuran gambarnya itu, biar gambarnya bisa dibikin menjadi video YouTube maupun short."
Pengguna Google,5,2024-07-21 14:52:46,bagus sekali
Pengguna Google,5,2024-07-21 14:20:16,tolong tambah untuk pengaturan rasio gambar
Pengguna Google,5,2024-07-21 08:38:20,mantap
Pengguna Google,5,2024-07-20 22:57:53,keren
Pengguna Google,5,2024-07-20 13:29:49,luar biasa.!
Pengguna Google,4,2024-07-20 11:26:30,aplikasinya bagus
Pengguna Google,5,2024-07-20 09:13:58,Senang
Pengguna Google,5,2024-07-20 08:13:26,nice
Pengguna Google,5,2024-07-20 06:07:24,good lock
Pengguna Google,5,2024-07-20 05:21:07,Microsoft rewards bisa dapet item gratis di game loh kalo pakai bing
Pengguna Google,5,2024-07-20 02:09:08,bagaimana cara menggunakan mode desktop di browser ini ? dan bagaimana cara menerjemahkan website ke berbagai bahasa ? apakah memang tidak tersedia fitur seperti itu ?
Pengguna Google,5,2024-07-20 00:37:31,"Kepake banget AI nya, bisa buat gambar juga. Mantap"
Pengguna Google,5,2024-07-19 18:50:08,"bagus,"
Pengguna Google,1,2024-07-19 16:25:49,"bing sudah tidak dapat membantu, dengan adanya update bukannya lebih baik malah semakin tidak kreatif"
Pengguna Google,3,2024-07-19 15:27:22,Baru tau aku ini
Pengguna Google,4,2024-07-19 14:27:42,bagus
Pengguna Google,5,2024-07-19 14:12:06,sangat bagus
Pengguna Google,4,2024-07-19 14:02:29,"Suka banget ,dan memudahkan dalam mengerjakan tugas ,tapi sayang setelah di update sering keluar dari aplikasi sendiri,mohon di perbaiki"
Pengguna Google,5,2024-07-19 10:09:24,cukup bagus untuk mencari teferensi
Pengguna Google,4,2024-07-19 08:10:09,Agak sering eror
Pengguna Google,5,2024-07-18 15:21:02,bagus bngat hasilnya
Pengguna Google,5,2024-07-18 13:24:43,Good
Pengguna Google,5,2024-07-18 12:39:06,bagus
Pengguna Google,5,2024-07-18 10:08:04,luarbiasa keren
